case_id,split,source_dataset,parent_group_id,input_sha256
wice:dev02986,calibration,WiCE-claim,347728645570fc069a501d2b200a0637650b930a076f469ba54b4fd3c5de3ab5,4ea82e9db2b3f63f1eddd4d2e7da44d4487d2ba7ceb6cf2f1ca868d30cba0217
wice:dev02563,calibration,WiCE-claim,0250e4c54f4822e045f8574a05020e9957f8fd24596542641753f724dc95085f,d4e8cf520d804e5dd0f6315fbc1dc5a32d86154b0e439f32753e24a46321b1a8
wice:dev02276,calibration,WiCE-claim,7b3b78ce5d4e68951461126b3ead2bbc739a388143983004c2c3bac68aa983b9,f060a56544b8017642b8c563faa727b8fb129b10393150bb471f4d58ba628551
wice:dev01892,calibration,WiCE-claim,8626c7524fdff0686e98fb8bca09f8fc06934e3bd7e0ee0e4a44d3243c951f77,148fa6dadf60fd1f6ce82113f9eaf98f89e7d882c951fa347236ba5708af41b0
wice:dev00866,calibration,WiCE-claim,c613517d580f514e8978874e73b6c2ce854f8bffe8d5ace07f6a5d54cc09a34a,9ee03520faabd0950315135105c532b0f415913b6b598b915a9b1899b2fe9486
wice:dev03310,calibration,WiCE-claim,782eb8c4a366992bcbe01b6adab6c0f5f601ab7f92fc1515dcb9aa0eb7aca64b,611c35566655e1bf4e3aa4996468c3ebd00f22c108ee6f7144ee4d80e0eabec4
wice:dev01108,calibration,WiCE-claim,f99226b3f9e2a4151a01624cc310c6591da2dfdc1346c66e05a7b86501fa3406,9d9aa4c2909e718627dea2f7271b56c907ad8073a45fe2159e6b1bdedc009528
wice:dev04471,calibration,WiCE-claim,2898e16d4e4ee2ae2fa8815d719efb385f0b40ca912e06fc2940658547c30237,7e09afb04419a2a5c1c56616aa437df59f6096476544e67b93bcc12f537a5d7e
wice:dev02692,calibration,WiCE-claim,4150177b54900ee886f6f1ce42adeb5c116875e07ec181df3d989e0475f01aee,296c8ff7c0a37f1639f73928fb16c6dc1bd3bbb823ff08621f0afc7c82e1b1fd
wice:dev02830,calibration,WiCE-claim,9170347071bdcdf3cf8841c4b3c35f0550fd01c56731cca2c105c264816c784a,fcf7f4998725b89d41c989e1b8cc46f9fe9756b3c36252686755ed9bf86caf0e
wice:dev01043,calibration,WiCE-claim,de85154ab42211d7f649dd30d49821f12ddaa0721bb98cd19e0029ea354a82e8,5fc7d62b0cf006e7988d8126fbc17ef1ecf80aee73595da6777b8236edc85466
wice:dev02455,calibration,WiCE-claim,4603a30a8f7cb1939715d3e4128dc970de50f52eb37fe4e99d198e04dddb0f19,da7bebd352538bbf016badd5db73eced600d5839dffbe521b3f826e2f69e93fa
wice:dev03245,calibration,WiCE-claim,52a738d78638c449ff90e038de18478a051e13ef55dce734c65df5e2b86e3ce8,a45182a2c40b71839fbee311405bead26245fb2c67cda31eb595aabf363d3c8e
wice:dev03075,calibration,WiCE-claim,eebee7fad5a1f325f05059854cebffdd4743d86095b5e238233847a4dd29c8b3,6d12e2e847c8d4ca16c6d852879bf0dd10e4be6f28bd201c1df0665fdce75298
wice:dev01696,calibration,WiCE-claim,8f5e201618ea93f82ea1bdd09f96a044e32a3025a4dda81441a6db15bc73a1fc,7f133c883d9f1fa77fa70cb8cd2c6e861ff9632018595df254bc3d120158917c
wice:dev03716,calibration,WiCE-claim,953cacd185344b241b172ad49a8977c19e5915cdad8734e836039bdb17ae18ed,6efdcfcacc3ded268eefe99414c4cb0b1ad87240df64095f9fb85c78f77dd8bc
wice:dev03989,calibration,WiCE-claim,5fcbb853122024e77ce932352d0be0431de789ddf7e3d0cdcfab0e9d819b1765,c3a7c4f45ea4e752546f941e2c5fa1bdefbc50dd9a4ec798471812bdf184fbce
wice:dev01451,calibration,WiCE-claim,d387d08a3a3f9453a39fb3f72b3159461d42a7c498cde76e819ebc77d4e07f57,dd13d706958098dc213274f9f3802e8d5d0f5dfcdc56d25c2e052a5e201010c6
wice:dev03621,calibration,WiCE-claim,b8b021dd906cf5f806266fc86a5ca675b4d709bf388fa45d2d4f1de643957714,0dd441b65f90e981e71498bd554aad1fc5e7ef027b73ab51ac3a8f8940f7b426
wice:dev03973,calibration,WiCE-claim,6a88a72b3a6062812a3b7b87c0770255b830a4c00656e3010ad240351836e7cf,5fbf11279497dfdcf2609d7c9abd8e58c24e27c6e075eec5db018ca205a0aac0
wice:dev02968,calibration,WiCE-claim,f482ac6ab99d32733843ba1427af92155564a75ed6454f5aeb980c6fb6691535,ff47bc6b35349faea5068fa5355d770cfc0a040755748abe99629dc603bb78b7
wice:dev00953,calibration,WiCE-claim,21f76a9e009854ddd4a37757d098b7a8031927e36edb30c06ec2d0df089ff20c,937aef9beb0d5f9f27267a6e7424779e4560430bee5b374663212f05af8682a0
wice:dev01524,calibration,WiCE-claim,c9b937b5a51b33a802f2fe97ec9ded4402eb250b3a444a08e213073a0860bc53,e4b7a9a7d8d20d5c49c443ec9a7fdbfdf3a12f98b3246e645211e7a8e49cab82
wice:dev03649,calibration,WiCE-claim,2dbf107e355d860bba116db92732604224edae3fddf20795ff9950162b648500,7514f26fdb73e89b4373be239e4d91f9099bbf4c3c8f9e7b7e645927b7e556ab
wice:dev04062,calibration,WiCE-claim,10debbf49dafd7914aa56504e0889b34faf4b5d4bd9bad8436579ecbc42a9b4e,d90b8a5692080a235b16c528dc55c95cd05a9ac4c662ad7a15243bb8c7be4505
wice:dev00624,calibration,WiCE-claim,1ba600f38b2ce47f3a24938be82f33fc8bcca0626931f2a0df3947729f17a351,5dd96f611255feccd522718c50dda01e6906412611695761498a69f6852788e4
wice:dev00236,calibration,WiCE-claim,e7be557fa17ea7491b7cbfb212b5bb01ee82f2dc9c2801ce5348bffdda85f1e9,14e05494f50b023757b91fdd439882f5d1b766abafcb2ba5fb92fd78d1994545
wice:dev03421,calibration,WiCE-claim,91e316d212df78288f161eff62932c1add0f5e8fed5de80202fe2b0a21f8388f,a9a35ffd537e8b68261ea8b149edb0d34d1f125fc9992edab78b959e79de121b
wice:dev04093,calibration,WiCE-claim,a22bfd4a58a3826f3e84d52018c23aee96cef8840546c15786681b067ebd8b3c,0c527a99c8096b10cec879a840c63a74e98f47b870549ae74c22494ec44ceb15
wice:dev00016,calibration,WiCE-claim,682e0d4a1d2d17fad8032a8874ed3dd9c393818373bedd43a754cdc4387e320f,391c4ff27a60528e6bb78e183016bf57a3d121797e809d30d1c184c094c74a30
wice:dev01673,calibration,WiCE-claim,f7361b47a759afc28d2d82f48094ba1b2289cfb1b579521645199d5cba4b3001,511285d8bde0851c474034014746f7e04709cd94342b998a69c4152da913162b
wice:dev03450,calibration,WiCE-claim,de4eb6326aa8871db9398c2aa5ea519cb200d7387d47dfacdb8004008e234a89,aacf3c59b6e80d048ba21dc5503cf51f63a75e1414ee98a63758467b18721c9a
wice:dev01859,calibration,WiCE-claim,c5abf1e3fa6f8b98e4e88b9fc22340f8684e75e4a1f25437327dad92c092dea1,061f1903f0aad60c1bd1ecd1a03c3719850b74b1c35bcf4351ec33d0269350f5
wice:dev03392,calibration,WiCE-claim,6aa5167cdd09b2b2b102c04e8565313b818f5315f21144f1fae5c358f4333f07,4500e9cf8733cfb32fb62cc01832a9351838b3bb3dd42899b6d33a3c5c61ad56
wice:dev04331,calibration,WiCE-claim,f89128b5e571ae8b29e3f6a63c95b44ee36015b2a0b6785d7e5552322e48d1ee,9139c2315fcb749726cf1bf81a145c71d2ee0d20f28c6e1f609b7a2f9d810d69
wice:dev00315,calibration,WiCE-claim,5a844eeeaa3b1cc5cd3a5d0793b4987edf57adf86348028237402909a4bb7c0d,10953ccea4a162be4331bb817cebb76ac5f3d7e0732534226fccdf3e585b9b5d
wice:dev01967,calibration,WiCE-claim,59f009c1b95e1796d37d0b9d0171006dfc343761a35bf30d7096975c6d4281df,21f55739cf6468cc6ed86940a05048f763b666ec514e989580b872bef61c2a9e
wice:dev01669,calibration,WiCE-claim,72298f3f4d1184757f0a7d0f605d20c3bbc2fa365bb6b6c1d82968b3250911cb,7496fda5752d6a9eb32d72d871734245adfba44b80cf716a9d81f16723f7f36f
wice:dev00971,calibration,WiCE-claim,75d25f9f9489bb1ce9af0fa94dda80613b9384740539baee395996484771040f,c7509b9286d5c5c4b0eff63dba73ad8858505ea5d04c4c143ea856420856a10b
wice:dev03598,calibration,WiCE-claim,5b3f099563eb9cbf97d8f1ccbebdf2430470acc10754a0aacc408244b92c2552,e2ae7e37764af0935486388d725ea2bd4dacccca53ea56a635e5af0247b2a657
wice:dev00825,calibration,WiCE-claim,91e316d212df78288f161eff62932c1add0f5e8fed5de80202fe2b0a21f8388f,7db2b573232066a5a47bc29c82be85e9e48dc51abf597d3a5ec8c0f120589558
wice:dev02304,calibration,WiCE-claim,6eb09fbedec5d4cb77a74e6c6cfac9fa470a00d998ae486fa8cce256841f7936,925d08f0a9bebdf12ced4db840a04bbdeda2a36ba8da2531374f0f61e13498f4
wice:dev01190,calibration,WiCE-claim,e3d3984207cddc4dffd808555b68900bd9505f22eb91ee60e9343454e216c0cc,3dd47ab388017b48b0ee3e7808e35d011d1bdb0b5a8df21226b149e2ebf06cae
wice:dev04425,calibration,WiCE-claim,9314284cf1c95f4e742dde1d153d287cf43deb08a27f328babfcfb8217bcb556,ba2ad9e683c81590249e5c1bf80d6a8bfec5ddce171dff07b07285ed840ba07d
wice:dev03810,calibration,WiCE-claim,c30d322627e393ac7c34bdf722e04971a3286c3e3b632e35056d1f8e395d37f4,03643550d828d386e8695e7440c4741603c56105f26231fdd31418de5286b582
wice:dev02670,calibration,WiCE-claim,ad35fb90f6758603a4acd67db4ce5621324d8ca294e4c52cf9d4654a5bf3a6ac,3fdc03b5be9e5b9b24bc99bce8bb462c6d9d89582340fcbea126cf083965affb
wice:dev03498,calibration,WiCE-claim,e07ea29868c463ab85e8e917c541a514ae00f7fc49127cdbf3c8db32c7342a37,6649434722fdfcd0db8ecca830e27dd38fadcc8729c29d8b9e19e4e98479a86a
wice:dev00732,calibration,WiCE-claim,79353365f65c20c481ea0a412b921eef3ab884789106568404fbf7b2b91f2516,355931e03c3f791699e24b25de34af666d72da361dc3effa32f427e24e79a0e4
wice:dev04273,calibration,WiCE-claim,e52dfeeb9aa658e194a29c2df409851be2413cebdb33ed0a97bb02e88f30fba9,64b8008bf1587bd38fe71f5c9b1c104565a82cc3a73b6aa39138b6795111729c
wice:dev03792,calibration,WiCE-claim,f48a832615c635fd5cf0afad4153d69d8798701173eca9a68a051e27a6771991,f75160e3130210edb60ae0d06c1b274bc4f4b879062b66316dedcfef8a6b1f14
wice:dev01904,calibration,WiCE-claim,bb817adbaa58a52f432e25ba34220a0ef61e6a9ed63c9b17c6d782052f3eb29f,9ae24199095d06812dada7b3156da3ee436e0d894b234b89c2fb95e13a808801
wice:dev03329,calibration,WiCE-claim,72945ec1f081e52a4556a267fe0ac01dd288ea9e163c6368108657470892f16e,b23de65e543ce9e461bb64ac8e5a469190465e9884e9632cc6983f6140b2931b
wice:dev02013,calibration,WiCE-claim,1f49caf9b0a123ec39fed3d8b18bb59b73cf4fa1907563aaef4ac3ea51eeeb6d,f41bd9244ba94fb6405225b0b3ef3626e11e16cf1c4c3656781048c4758b7d19
wice:dev01627,calibration,WiCE-claim,acb1852cfc07559dfbd4e9fa5ade4bcb31bf23f46bb11d8ccbc81c430a5a0a4f,94b063180fb957ed7b77e66cb1768ae2e7f6d76bbf27c6d314b6f7440b5213ae
wice:dev02780,calibration,WiCE-claim,e07b37778a2ae808f0a052a1f288236f6a3d71f48100d93d2c8a3ecb33f9c77a,d67dc3ad7c1079414ef3502d202681889456c8f8fd882db3e2bd46eec9faab8e
wice:dev00989,calibration,WiCE-claim,4150177b54900ee886f6f1ce42adeb5c116875e07ec181df3d989e0475f01aee,6240e949c8fbac41ba63bd8fbf5adc7f1391ca054ee44d0e329b6ab5a83e4457
wice:dev03604,calibration,WiCE-claim,c008f592e0286d33e9ca3a98cd1659cc1623cd6f8b0945d1e8d07c7b940e87b5,6c359d87fb939e7d059b886d082e0430216d7239510b83f72233dc671bd90621
