case_id,published_label,original_label
wice:dev02986,NOT_ATTRIBUTABLE,partially_supported
wice:dev02563,NOT_ATTRIBUTABLE,not_supported
wice:dev02276,NOT_ATTRIBUTABLE,partially_supported
wice:dev01892,NOT_ATTRIBUTABLE,partially_supported
wice:dev00866,ATTRIBUTABLE,supported
wice:dev03310,ATTRIBUTABLE,supported
wice:dev01108,ATTRIBUTABLE,supported
wice:dev04471,NOT_ATTRIBUTABLE,partially_supported
wice:dev02692,NOT_ATTRIBUTABLE,not_supported
wice:dev02830,NOT_ATTRIBUTABLE,partially_supported
wice:dev01043,NOT_ATTRIBUTABLE,partially_supported
wice:dev02455,ATTRIBUTABLE,supported
wice:dev03245,ATTRIBUTABLE,supported
wice:dev03075,NOT_ATTRIBUTABLE,not_supported
wice:dev01696,NOT_ATTRIBUTABLE,partially_supported
wice:dev03716,NOT_ATTRIBUTABLE,not_supported
wice:dev03989,NOT_ATTRIBUTABLE,partially_supported
wice:dev01451,ATTRIBUTABLE,supported
wice:dev03621,NOT_ATTRIBUTABLE,not_supported
wice:dev03973,NOT_ATTRIBUTABLE,not_supported
wice:dev02968,ATTRIBUTABLE,supported
wice:dev00953,NOT_ATTRIBUTABLE,partially_supported
wice:dev01524,ATTRIBUTABLE,supported
wice:dev03649,ATTRIBUTABLE,supported
wice:dev04062,NOT_ATTRIBUTABLE,partially_supported
wice:dev00624,ATTRIBUTABLE,supported
wice:dev00236,NOT_ATTRIBUTABLE,not_supported
wice:dev03421,NOT_ATTRIBUTABLE,partially_supported
wice:dev04093,NOT_ATTRIBUTABLE,partially_supported
wice:dev00016,NOT_ATTRIBUTABLE,partially_supported
wice:dev01673,NOT_ATTRIBUTABLE,partially_supported
wice:dev03450,NOT_ATTRIBUTABLE,partially_supported
wice:dev01859,NOT_ATTRIBUTABLE,partially_supported
wice:dev03392,NOT_ATTRIBUTABLE,partially_supported
wice:dev04331,NOT_ATTRIBUTABLE,partially_supported
wice:dev00315,NOT_ATTRIBUTABLE,partially_supported
wice:dev01967,NOT_ATTRIBUTABLE,partially_supported
wice:dev01669,NOT_ATTRIBUTABLE,partially_supported
wice:dev00971,NOT_ATTRIBUTABLE,not_supported
wice:dev03598,ATTRIBUTABLE,supported
wice:dev00825,NOT_ATTRIBUTABLE,partially_supported
wice:dev02304,ATTRIBUTABLE,supported
wice:dev01190,ATTRIBUTABLE,supported
wice:dev04425,NOT_ATTRIBUTABLE,partially_supported
wice:dev03810,ATTRIBUTABLE,supported
wice:dev02670,NOT_ATTRIBUTABLE,partially_supported
wice:dev03498,NOT_ATTRIBUTABLE,partially_supported
wice:dev00732,NOT_ATTRIBUTABLE,partially_supported
wice:dev04273,NOT_ATTRIBUTABLE,partially_supported
wice:dev03792,NOT_ATTRIBUTABLE,partially_supported
wice:dev01904,NOT_ATTRIBUTABLE,partially_supported
wice:dev03329,ATTRIBUTABLE,supported
wice:dev02013,NOT_ATTRIBUTABLE,partially_supported
wice:dev01627,NOT_ATTRIBUTABLE,partially_supported
wice:dev02780,ATTRIBUTABLE,supported
wice:dev00989,ATTRIBUTABLE,supported
wice:dev03604,NOT_ATTRIBUTABLE,partially_supported
wice:dev03207,ATTRIBUTABLE,supported
wice:dev01563,NOT_ATTRIBUTABLE,partially_supported
wice:dev04077,ATTRIBUTABLE,supported
wice:dev04519,NOT_ATTRIBUTABLE,partially_supported
wice:dev00224,ATTRIBUTABLE,supported
wice:dev04169,ATTRIBUTABLE,supported
wice:dev02112,NOT_ATTRIBUTABLE,partially_supported
wice:dev03784,ATTRIBUTABLE,supported
wice:dev02858,NOT_ATTRIBUTABLE,partially_supported
wice:dev02502,NOT_ATTRIBUTABLE,partially_supported
wice:dev00287,ATTRIBUTABLE,supported
wice:dev03646,NOT_ATTRIBUTABLE,not_supported
wice:dev00068,NOT_ATTRIBUTABLE,not_supported
wice:dev01935,NOT_ATTRIBUTABLE,partially_supported
wice:dev01665,ATTRIBUTABLE,supported
wice:dev03078,NOT_ATTRIBUTABLE,partially_supported
wice:dev03765,NOT_ATTRIBUTABLE,partially_supported
wice:dev04456,NOT_ATTRIBUTABLE,partially_supported
wice:dev03910,ATTRIBUTABLE,supported
wice:dev02260,NOT_ATTRIBUTABLE,partially_supported
wice:dev01543,NOT_ATTRIBUTABLE,not_supported
wice:dev04117,NOT_ATTRIBUTABLE,partially_supported
wice:dev01523,ATTRIBUTABLE,supported
wice:dev04052,NOT_ATTRIBUTABLE,partially_supported
wice:dev03919,ATTRIBUTABLE,supported
wice:dev01662,NOT_ATTRIBUTABLE,partially_supported
wice:dev02195,NOT_ATTRIBUTABLE,partially_supported
wice:dev01864,ATTRIBUTABLE,supported
wice:dev01153,NOT_ATTRIBUTABLE,partially_supported
wice:dev04159,ATTRIBUTABLE,supported
wice:dev02064,NOT_ATTRIBUTABLE,not_supported
wice:dev01908,ATTRIBUTABLE,supported
wice:dev00004,NOT_ATTRIBUTABLE,partially_supported
wice:dev02905,NOT_ATTRIBUTABLE,partially_supported
wice:dev03672,NOT_ATTRIBUTABLE,partially_supported
wice:dev02879,NOT_ATTRIBUTABLE,partially_supported
wice:dev03990,ATTRIBUTABLE,supported
wice:dev03051,NOT_ATTRIBUTABLE,partially_supported
wice:dev03925,ATTRIBUTABLE,supported
wice:dev00316,NOT_ATTRIBUTABLE,partially_supported
wice:dev03013,ATTRIBUTABLE,supported
wice:dev03713,ATTRIBUTABLE,supported
wice:dev04133,NOT_ATTRIBUTABLE,partially_supported
wice:dev01275,NOT_ATTRIBUTABLE,partially_supported
